maxThreshold,perChallengeEmission
1250000000,71347.03196347040
1875000000,35673.51598173520
2187500000,17836.75799086760
2343750000,8918.37899543379
2421875000,4459.18949771688
2460937500,2229.59474885845
2480468750,1114.79737442923
