"HolderAddress","Quantity","PendingBalanceUpdate"
"0xdc4a5e5193eb2c44586c4f779654cc1e85f530c4","69","No"
"0x159c379fb9f2ee51ee829a5252513a0a5bd7858c","68","No"
"0x234d5d5bd4dbe91a8df7ad5a52f1a14555c04688","68","No"
"0x818358728c4461d6aa4e0aa5cd8c6d38381c0dfd","67","No"
"0x3099977b7a304d21325420e2a4c7fb47ba0e7884","66","No"
"0x44e45c17dd690eb7351030de27976e2d3ac16ba9","65","No"
"0xe1be51037d4c71ca249487cc09bfec224fc3e781","65","No"
"0xc9e41be5164c3744b582f69448b250d9346494a0","65","No"
"0x4b65e9216d4fe0ad205d50adbb226b53fa0f9419","65","No"
"0x56101275a1a1ea128be428b3adbb672c5d54a28c","62","No"
"0x3d6f9fddf94efdaa78ef2ce5d62550607acfd06e","60","No"
"0xbefc71378034eab9348e8c4c3aaf69eff9eb6f8a","60","No"
"0x9c2f9656ec85ba150b2f7a0167851a87624b5720","60","No"
"0x64540e626882fb275b8de233cb6f2b395e22484f","60","No"
"0xb2336d4762365146e157ac6205209fa63968d4a3","60","No"
"0xa866edd4f3c1b07c9daa4fe7b5fde73eff06210b","56","No"
"0xdf4890145392ba10482309316c2df4e59362ab89","55","No"
"0x5253b43b9dc391f847b2a26fc597e907ca0148f2","53","No"
"0xccee4af15d821545f1c443f7f840573a6e0bb991","51","No"
"0x505ff12b6f84e819cbaf0cf2d199ee65206c2804","51","No"
"0x5884412e63fa904137345ed22a7745759954969c","51","No"
"0x534bd92fe6bef30660477c9c49ab5090346cf200","51","No"
"0x128087b24a48d7c2ee0151493e5ff996482693fa","50","No"
"0x7d5428dc723c3553795afcb980b7e2bdf14b2bf9","50","No"
"0xdb07f9a6171a6d2a2f0a5b4cc9272afa8e175115","50","No"
"0xfbc42b6d570e9e9f14a1bf0a39c85ad2b8f03ba5","50","No"
"0x0922176b1b7c0367b735b456bbb60344c7549e28","50","No"
"0xd9edbe74b4b1a29431839f54b090535513a453d2","50","No"
"0x3f870fe9504218bc58b71674349beac058dc2bde","50","No"
"0x75b8642833ade8bae6753f5a6368b866c7601321","50","No"
"0xf8992a1f4e302460bd49a1646ee315d810235212","50","No"
"0x9d2a0c1e82677a4e42d6c04110b735edf60ee2e1","50","No"
"0xd59614eeea3a3ff6889466ae75777bf3198ef374","50","No"
"0xa45f1e65cb730e0f3eb6d9752d2c2d2ab49b7b09","50","No"
"0xfed6be359e08c9513c7acf5e6073a76fecacffdf","50","No"
"0xffc0af9c764d5b2161e143af51b4e3ff9aec0784","50","No"
"0x811de7a77d47c786eefb78abc5472098c9f74df9","50","No"
"0x11d67fa925877813b744abc0917900c2b1d6eb81","50","No"
"0x02fbadf4f6587885c7db75c65d13cf5fed2d246e","50","No"
"0x34f4ba1d4796faeb94a7d5a237b5782b30541207","50","No"
"0xa94ca3837fa92d3223f0b651c5672299f286158d","50","No"
"0x4bb5e2a31bc8afde57463b73308747cb36b4a977","50","No"
"0xd7985ec2f1976552db4069e031dd672a0adf783e","50","No"
"0xcd6100d7a6b120b7042ba09b787a1cb26a2e6ae1","50","No"
"0xad8a0ee6e69340b3bb2457b631811351ee5b661c","50","No"
"0x8763c3dae7410ae989cfe908f4c4e4bc07c39524","47","No"
"0x32bfcd79baf05a6a71db12c018807ea57734bf64","47","No"
"0x234d651d5943b47bdde1803d8b1e191777f25103","47","No"
"0x7bb09046c5835b3e7ee83c3fddb51b0ac51bae7c","45","No"
"0x8976f46bd98e99ef7f39f374373a14d0b50f9d2d","45","No"
"0x8a08040600ce011d63be3e63880794f97e2522e4","45","No"
"0x0b5d9ae8fd1eba316a1b8b22b3c08b5621fb68b4","44","No"
"0x30a564ead59e9a73c00e4d9227244cbe3d0bb92d","43","No"
"0x8159952367d341200e81807b6dc670568835207e","42","No"
"0x6d4c8dd2b9c2ebef9f102e7a49dc0aeeff56d74d","40","No"
"0xc88ce80565faf1a4eb17b62abd3ba74752ab8bc9","40","No"
"0xcac8b8c38e02c0598c230f9dc1ada6bd2887aab8","40","No"
"0x8bd6bc7686134790a2eee6be5270b2d99128f3e7","40","No"
"0x5bbf336917780d8b80486592418b90fee20084a2","40","No"
"0xea0ee43d61105c98bb8ccf2e93a1e8e287601772","40","No"
"0xd8e8518144e41d6c367febb405c8cc77b4bdd8dc","40","No"
"0xd6a2d2d01f64e84b894ad045e48dea0b9390cadb","40","No"
"0xd3c1229d06444d5ca559b889e5bc81c1b8124644","40","No"
"0x4d11293a4a090743c5613dca5b028261f950d720","40","No"
"0x7833a4de9c1bd2f9def212851bc40ef08dfe80de","39","No"
"0x983dc24b3ede4082b928f9ea333d1dd772b3fdc5","39","No"
"0x911b1d6a7534e539e515276c9638a69f508ae814","39","No"
"0x26f9b05a8b8827e7519bb918b1ac6e3004f8ebdc","38","No"
"0x97e93c2992341049231ddd85ff9e6f55a3dd616d","38","No"
"0x21166e620fd096d2e967e2b7878c93c1305ebd89","37","No"
"0x6d574f34b1b9943fa95e59abf7e7a2ad805f99f8","37","No"
"0xe8e903d26283d80eaace747748ce50fc8348eb5f","37","No"
"0x91da9fb23656b27264a0826686753d23abfb61a5","37","No"
"0x6b71c4679481bd60ea769aab605189b055231a0f","36","No"
"0x5e71b15092e6b6c8869108b20de66b8e7a6d5a7c","36","No"
"0x2f3db2a40c01d1fdd6fd4ac6040684292b8807e8","35","No"
"0xf6dffda5a19e59a73295f919d2030eb3031474ea","35","No"
"0xd6b09a68def89329dd82b4605a7234641fa41113","35","No"
"0xd98b13c41e5202eef7eab9bae7d71457cec81b69","35","No"
